post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
FK13,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0
FK14,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
FK15,0,1,0,1,0,1,4,0,0,0,1,11,0,0,0,0,0,1,0,1,0
FK16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FK17,0,0,1,3,0,2,2,1,1,0,1,20,0,0,0,0,0,0,0,0,0
FK18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FK2,1,1,2,4,0,9,9,1,1,0,0,90,0,1,0,0,0,5,3,2,1
FK20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK3,1,0,3,1,0,1,3,0,1,1,0,18,0,0,0,0,0,0,0,0,0
FK4,0,0,1,0,0,0,1,0,0,0,1,19,0,1,0,1,0,1,0,0,0
FK5,0,0,0,1,0,3,3,1,1,1,0,30,0,0,0,0,0,0,2,0,0
FK6,0,0,0,2,0,1,4,0,0,0,1,20,0,0,0,0,0,1,0,2,0
FK7,3,1,0,5,0,1,7,0,2,0,2,40,0,0,0,1,0,1,1,2,0
FK8,0,1,2,1,1,0,3,1,0,0,2,26,0,0,0,0,0,0,0,0,0
FK9,0,1,0,2,0,0,3,1,1,0,1,15,0,0,0,0,0,1,1,2,0
FY1,2,0,2,8,0,12,6,8,2,0,2,66,0,0,0,1,0,5,2,4,0
FY2,2,1,2,3,1,2,3,6,0,0,4,25,0,0,0,1,0,2,3,4,0
FY3,4,3,4,12,0,10,4,7,1,0,4,79,1,1,0,1,0,1,2,1,0
FY4,1,1,0,6,0,4,6,7,2,0,2,66,0,0,1,0,0,1,1,2,0
FY5,1,1,0,6,1,5,8,4,1,0,2,60,0,1,0,0,0,2,1,2,0
FY6,2,0,0,7,0,3,3,2,0,0,0,34,0,0,1,0,1,2,2,3,0
FY7,1,0,0,5,1,7,1,6,0,0,3,25,0,0,1,0,1,1,1,2,0
FY8,2,1,4,8,2,13,7,4,0,0,2,53,0,0,0,0,0,2,2,3,0
G1,1,1,2,2,0,2,3,3,0,0,2,66,0,0,0,0,0,1,1,3,0
G11,0,0,0,3,0,0,5,1,2,0,2,22,0,0,0,0,0,0,0,0,2
G12,1,0,1,1,0,2,1,3,1,0,3,30,0,0,0,1,1,0,0,1,0
G13,1,0,1,4,0,4,3,3,1,0,0,33,0,0,0,1,0,0,1,3,0
G14,0,0,1,2,0,0,3,1,1,0,0,15,0,0,0,0,0,0,0,1,0
G15,2,0,0,1,0,1,2,2,0,0,0,12,0,0,0,0,0,2,0,0,0
G2,3,0,2,4,0,3,5,1,0,0,0,69,0,0,0,0,0,3,1,4,0
G20,1,1,2,5,0,2,3,5,0,1,0,25,0,0,0,0,0,1,1,2,0
G21,0,0,2,3,0,1,2,2,1,0,1,20,0,0,0,0,0,0,1,2,0
